Unnamed: 0,Title,Poem,Poet,Tags,location,year
65,"

                    from Stone: 24

                ","

Leaves scarcely breathing

in the black breeze;

the flickering swallow

draws circles in the dusk.

 

In my loving

dying heart

a twilight is coming,

a last ray, gently reproaching.

 

And over the evening forest

the bronze moon climbs to its place.

Why has the music stopped?

Why is there such silence?

 

",Osip Mandelstam,"Stars, Planets, Heavens",Poland,1911
66,"

                    from Stone: 98

                ","

The clock-cricket singing,

that’s the fever rustling.

The dry stove hissing,

that’s the fire in red silk.

 

The teeth of mice milling

the thin supports of life,

that’s the swallow my daughter

who unmoored my boat.

 

Rain-mumble on the roof—

that’s the fire in black silk.

But even at the bottom of the sea

the bird-cherry will hear ‘good-bye’.

 

For death is innocent,

and the heart,

all through the nightingale-fever,

however it turns, is still warm.

",Osip Mandelstam,"Time & Brevity,Animals",Poland,1911
67,"

                    from Stone: 103 The Twilight of Freedom

                ","

Let us praise the twilight of freedom, brothers,

the great year of twilight!

A thick forest of nets has been let down

into the seething waters of night.

O sun, judge, people, desolate

are the years into which you are rising!

                     

Let us praise the momentous burden

that the people’s leader assumes, in tears.

Let us praise the twilight burden of power,

its weight too great to be borne.

Time, whoever has a heart

will hear your ship going down.

 

We have roped swallows together

into legions.

Now we can’t see the sun.

Everywhere nature twitters as it moves.

In the deepening twilight the earth swims into the nets

and the sun can’t be seen.

 

But what can we lose if we try one

groaning, wide, ungainly sweep of the rudder?

The earth swims. Courage,

brothers, as the cleft sea falls back from our plow.

Even as we freeze in Lethe we’ll remember

the ten heavens the earth cost us.

 

",Osip Mandelstam,History & Politics,Poland,1911
68,"

                    from Stone: 122

                ","

Let me be in your service

like the others

mumbling predictions,

mouth dry with jealousy.

Parched tongue

thirsting, not even for the word—

for me the dry air is empty

again without you.

 

I’m not jealous any more

but I want you.

I carry myself like a victim

to the hangman.

I will not call you

either joy or love.

All my own blood is gone.

Something strange paces there now.

Another moment

and I will tell you:

it's not joy but torture

you give me.

I'm drawn to you

as to a crime—

to your ragged mouth,

to the soft bitten cherry.

Come back to me,

I'm frightened without you.

Never had you such power

over me as now.

Everything I desire

appears to me.

I'm not jealous any more.

I'm calling you.

 

",Osip Mandelstam,Realistic & Complicated,Poland,1911
69,"

                    from Poems: 140 1 January 1924

                ","

Whoever kisses time’s ancient nodding head

will remember later, like a loving son,

how the old man lay down to sleep

in the drift of wheat outside the window.

He who has opened the eyes of the age,

two large sleepy apples with inflamed lids,

hears forever after the roar of rivers

swollen with the wasted, lying times.

 

The age is a despot with two sleepy apples

to see with, and a splendid mouth of earth.

When he dies he’ll sink onto the numb

arm of his son, who’s already senile.

I know the breath growing weaker by the day

Not long not till the simple song

of the wrongs of earth is cut off,

and a tin seal put on the lips.

 

O life of earth! O dying age!

I’m afraid no one will understand you

but the man with the helpless smile

of one who has lost himself.

O the pain of peeling back the raw eyelids

to look for a lost word, and with lime

slaking in the veins, to hunt

for night herbs for a tribe of strangers!

 

The age. In the sick son’s blood the deposit of lime

is hardening. Moscow’s sleeping like a wooden coffin.

There’s no escaping the tyrant century.

After all these years the snow still smells of apples.

I want to run away from my own doorstep,

but where? Out in the street it’s dark,

and my conscience glitters ahead of me

like salt strewn on the pavement.

 

Somehow I’ve got myself set for a short journey

through the back lanes, past thatched eaves, starling houses,

an everyday passer-by, in a flimsy coat,

forever trying to button the lap-robe.

Street after street flashes past,

the frozen runners crunch like apples;

can’t get the button through the button-hole,

it keeps slipping out of my fingers.

 

The winter night thunders

like iron hardware through the Moscow streets.

Knocks like a frozen fish, or billows in steam,

flashing like a carp in a rosy tea-room.

Moscow is Moscow again. I say hello to her.

‘Don’t be stern with me; never mind.

I still respect the brotherhood

of the deep frost, and the pike’s justice.’

 

The pharmacy’s raspberry globe shines onto the snow.

Somewhere an Underwood typewriter’s rattled.

The sleigh-driver’s back, the snow knee-deep,

what more do you want? They won't touch you, won’t kill you.

Beautiful winter, and the goat sky

has crumbled into stars and is burning with milk.

And the lap-robe flaps and rings

like horse-hair against the frozen runners.

 

And the lanes smoked like kerosene stoves,

swallowed snow, raspberry, ice,

endlessly peeling, like a Soviet sonatina,

recalling nineteen-twenty.

The frost is smelling of apples again.

Could I ever betray to gossip-mongers

the great vow to the Fourth Estate

and oaths solemn enough for tears?

 

Who else will you kill? Who else will you worship?

What other lie will you dream up?

There’s the Underwood’s cartilage. Hurry, rip out a key,

you’ll find a little bone of a pike.

And in the sick son’s blood the deposit of lime

will melt, and there’ll be sudden blessèd laughter.

But the simple sonatina of typewriters

is only a faint shade of those great sonatas.

 

",Osip Mandelstam,History & Politics,Poland,1911
70,"

                    from Poems of the Thirties: 286 [The Stalin Epigram]

                ","

Our lives no longer feel ground under them.

At ten paces you can’t hear our words.

 

But whenever there’s a snatch of talk

it turns to the Kremlin mountaineer,

 

the ten thick worms his fingers,

his words like measures of weight,

 

the huge laughing cockroaches on his top lip,

the glitter of his boot-rims.

 

Ringed with a scum of chicken-necked bosses

he toys with the tributes of half-men.

 

One whistles, another meouws, a third snivels.

He pokes out his finger and he alone goes boom.

 

He forges decrees in a line like horseshoes,

One for the groin, one the forehead, temple, eye.

 

He rolls the executions on his tongue like berries.

He wishes he could hug them like big friends from home.

 

",Osip Mandelstam,History & Politics,Poland,1911
71,"

                    Love Letters

                ","

Many months have passed

since the diagnosis,

and you’re still grieving for her.

She’s not dead yet.

But she’s lost, like a child is lost—

her mind the ocean floor,

where she kicks up sand

and churns in the water.

 

Al, we call it, or AD—

never by its real name

as if mentioning the word would bring bad luck—

the need to cross one’s self across the heart,

throw back to the ocean half of one’s catch,

turn three times and pray to the East.

 

Papa’s and her letters,

written during their courtship,

are tied with a faded, red ribbon

and sunk in a safe deposit box at Bishop Trust.

Long ago, she gave them to you

for safekeeping. At the time

 

she exacted a promise from you,

that you would not read them

until she was dead.

We twist down the spiral staircase

curled like a strand of seaweed

into the cold room of vaults,

the heavy thud of door distinct as your sadness

following us everywhere. There,

you turn over the bundle of letters

in your hand like unbelievable money.

“I’m so tempted to read them,” you say.

 

You want her back,

the feisty and independent one,

the one who could, at eighty,

do ten knee bends in aerobics class,

dance a smooth jitterbug

and shuttle like the tide

to and from the house about her business.

Not this Elizabeth you mourn,

the one who can no longer reason,

who points and giggles at fat people

and smells, sometimes, like the ocean.

Time slides like Dali’s clock.

Elizabeth is surprised

that she once was married and had a husband,

that she once gave birth to sons.

 

",Juliet Kono,"Growing Old,Health & Illness",Hawaii,1963
72,"

                    Shower

                ","

In her illness

Elizabeth believes we do this deliberately,

the washing of her body.

She blames me,

her Japanese daughter-in-law

for having made keeping her clean a fetish.

Angry, she says we do this to torment

her soul, the shower a hot

spray of needles we subject

on her moon-colored skin.

She hates it even more

if I’m there to wash her.

She wants her son,

the person she thinks of these days

as her lover, or husband, or father.

Memory and privacy,

she cries at their loss

as I soap her down like an old car.

What protestations!

And as I listen to her,

I think of these bodies

we have given so freely to men,

yet feel ashamed of

when in the eyes of another woman.

How she fawns

when she thinks a man’s around.

Today, she bangs the walls.

“I hate you! The water’s too wet!”

Hanging onto the safety bars,

she pitches back and forth

like a child,

wanting to be let out at the gate.

I wash her back.

She spins around

in my soap-lathered hands,

and loosening her face in mine,

she glares.

She sticks out her tongue,

and biting down on it, she squeals,

jowls swinging, arms jiggling.

Then, in a dive of both hands

between her legs,

she drops to a semi-squat, simian posture

and thrusts her pelvis bones forward

like mountains in an antediluvian upheaval.

In a gesture of obscenity,

she unfolds her petals

and displays her withered sex to me—

the same way boys moon, flip the bird

or grab their crotch and waggle their tongues—

the profane she feels but can’t articulate.

 

",Juliet Kono,"Growing Old,Health & Illness,The Body",Hawaii,1963
73,"

                    Womanhood

                ","

When I was three,

a tsunami hit town.

“Daddy, Daddy, save me,

don’t let me drown.”

He saved me

and my common-type dolls.

 

When I was sixteen,

another tsunami hit town.

I cried to my daddy,

“Daddy, Daddy, please save me,

don’t let me drown!”

But he let go of my hand!

 

I still dance

to what broke on my life.

 

",Juliet Kono,"Sorrow & Grieving,Family & Ancestors",Hawaii,1963
74,"

                    Homeless

                ","

My son lives on the streets.

We don’t see each other much.

Like a mother who puts white lilies

on the headstone of a dead child,

I put money into his bank account,

clothes into E-Z Access storage

and pretend he’s far away—

at a boarding school, or in a foreign country.

Nights, I dream fairy tales about him.

I dream he becomes a prince,

scholar or warrior who rescues me

from sorrow, the way he rescued me

when he was a child and said,

“Mommy, don’t cry,” and brought tea

into the room of his father’s acrimony—

brave, standing tall in the forest

fire of his father’s scorn. I wake

to the empty sound of wind in the trees.

He says he wants to live with me.

I say I can’t live with him—

boy whose words crash like branches in a rain storm.

Nothing can hold him in,

the walls of a house too thin.

Back home, I had seen

the “study-hard-so-you-don’t-become-like-them”

street bums on Mamo Street,

and he’s like them.

These days, in order to catch a glimpse of him,

I circle the city. One day,

I see him on his bike.

People give him wide berth,

the same way birds avoid power lines,

oncoming cars or trees.

I park on a side street.

Wild-eyed, he flies the block

as if in a holding pattern.

Not of my body, not of my hopes,

he homes in on what can’t be given or taken away.

 

",Juliet Kono,"Parenthood,Home Life",Hawaii,1963
80,"

from What the Heart Longs For When It Only Knows Heat [""We spend the afternoon together watching a docudrama...""]

                ","

We spend the afternoon together watching a docudrama about wild horses that roamed the ancient Arctic Circle. Surprisingly sleek, built for speed and not the weather, they were remarkable for their recklessness. They careen headlong down ice bluffs to fall into a broken heap. We can hear the small, tinny sounds of their terror as they plunge across vast, glowing glacial faces. All of this takes place alongside an abstractly relentless gunmetal sea. I can feel you turn to me, wetness marking the corners of your lips and eyes. I, too, am mesmerized, my vision limited to a sense of motion on the peripheries. Later, I am summoned for an impromptu scan and, miraculously, I pass.

",Sueyeun Juliette Lee,"Animals,Photography & Film",Virginia,1997
81,"

from Solar Maximum [""My skin crawls at odd hours of the day...""]

                ","

My skin crawls at odd hours of the day, a residual effect of my recent radiation therapies, how they inadvertently synced me to coronal flares. During my morning tea, at the gym, during the drive back home. A simple turn transforms into an avalanching pinprick of tremors one millimeter thick. I’d have preferred a suppurative response—one that collects under the skin—to this invisible, blistering, cracklesome lightning scar. One can’t choose the mood that gathers, the body’s response.


 


The brightest moments of the day rarely correlate to a discharge. Gray sky or blackness, a foggy haze aswirl between stars and nothing halts. Some moments tear my teeth.


 


The news feed portends rolling blackouts across the state. I read over the last of my messages: A blanket request for a plasma donation, Sasha asking if I want a ride to the wake.

",Sueyeun Juliette Lee,"Health & Illness,The Body",Virginia,1997
82,"

from Solar Maximum [""How much chemical disorder...""]

                ","

                                 How much chemical disorder

                 can be survived depends                on medical technology.

    A hundred years ago, cardiac arrest was irreversible.

                                       People were called dead

                when their heart                  stopped beating.

            Today death is                                  believed to occur 4

      to 6 minutes after                                      the heart stops beating

              because after                                     several minutes it is difficult

      to resuscitate the brain.

                                                    However, with new experimental

              treatments, more than         10 minutes of warm cardiac

                                      arrest can       now be survived without

      brain injury.     Future technologies

                                                          for molecular repair may extend the

 

 

                               frontiers of resuscitation beyond

                                    60 minutes or more,

                             making today’s             beliefs about

                       when death                             occurs

                                                                        obsolete

 

 

        merely transitory evidence          a stray boundary between

   a much longer-lasting            (invisible                     opposite polarities

         feature                                                             the fields annihilate

                        the field tries to                        one another

                             repel the intruder                        rapidly

 

 

 

                            velocities     directly                    shine in emission

                          visible                                                              shortly

 

 

                                  in terms of                  before

                                                       brightness                              totality

 

 

",Sueyeun Juliette Lee,"Health & Illness,The Body",Virginia,1997
83,"

                    Three Blue Butterflies

                ","

I. MORPHO MENELAUS

 

Foiled acqua-

moiré wings the

butterfly’s beauty-

mark hydraulic in its

purposes   his

hair’s flame lifts

you snarls you

 

II. MORPHO ACHILLES

 

Sea-bed in semaphore / an

eyepiece     wing-span

delft dye vat-dipped shingle

scintilla        :        truant

and acclimate     enfold

or infuriate:     SOS:Don’t surroundDon’t surroundyourself with yourself

 

III. MORPHO RHETENOR HELENA

 

Neon heather sky-

lit bluer than moiré:

 

inseam of street

trash     lush mask-

 

contour     soul-

strait fungible

 

as raiment in the

crawlspace     radiating

 

amatory birds’

egg bulls-eye

 

",Christina Pugh,Animals,Virginia,1998
84,"

                    [""Something I learned about agape when I was young...""]

                ","

Something I learned about agape when I was young: the Iliad tells

us fellow-feeling is finite in communities. Brotherly love becomes a

number that has to be divided among persons—so if you’re too kind to

others, that might explain your neighbor’s graft. I sometimes wonder if

perception is the same; if the quantity of percepts, or our trove of eidetic

things, is not limitless but rather constant: the measure, say, of a sunlit

field. So if we dip like deep-sea divers to the world, we’ll have to use a

purse-seine to sieve our sense impressions. We’re hoarding the image

at our peril. That bluest scilla smeared by a finger writing in the grass?

Endangered. Poetry’s work is not to ravish, but diminish.

 

",Christina Pugh,Poetry & Poets,Virginia,1998
89,"

                    The Properties of Light

                ","

Mid-October in Central Park, one of the elms

has changed early, burning with a light

grown accustomed to its own magnificence,

 

imperceptible until this moment when it becomes

more than itself, more than a ritual

of self-immolation. I think of sacrifice

 

as nourishment, the light feeding bark and veins

and blood and skin, the tree better off

for wanting nothing more. I used to imagine

 

the chakra like this—a hole in the soul

from the top of the head, where the light of knowing

can shimmer through. In the summer of 1979

 

I saw that light shoot from my brother’s forehead

as we sat chanting in a temple in Manila.

He didn’t see it pulsing like a bulb in a storm,

 

but he said he felt the warmth that wasn’t warmth

but peace. And I, who have never been

so privileged, since then have wondered

 

if we believed everything because not to believe

was to be unhappy. I’ve seen that light elsewhere

—on a river in Bangkok, or pixeled across

 

the shattered façades of Prague—but it is here

where I perceive its keenest rarity, where I know

it has passed over all the world, has given shape

 

to cities, cast glamour over the eyes of the skeptic,

so that it comes to me informed with the wonder

of many beings. I can’t begin to say how infinite I feel,

 

as though I were one of many a weightless absence

touches, and out of this a strange transformation:

the soul ringed with changes, as old as a tree,

 

as old as light. I am always learning the same thing:

there is no other way to live than this,

still, and grateful, and full of longing.

 

",Eric Gamalinda,"The Body,The Spiritual","Quezon City, Philippines",1976
90,"

                    Zero Gravity

                ","

The dry basin of the moon must have held

the bones of a race, radiant minerals,

or something devoid of genesis, angel-heavy,

idea-pure. All summer we had waited for it,

 

our faces off-blue in front of the TV screen.

Nothing could be more ordinary—two figures

digging dirt in outer space—while mother repeated

Neil Armstrong’s words, like a prayer

 

electronically conveyed. The dunes were lit

like ancient silk, like clandestine pearl.

In the constant lunar night this luminescence

was all we hoped for. A creature unto itself,

 

it poured into the room like a gradual flood

of lightning, touching every object with the cool burn

of something not quite on fire. If we stepped out

Manila would be blank ether, way station,

 

a breathless abeyance. It didn’t matter,

at that moment, where our lives would lead:

father would disown one brother,

one sister was going to die. Not yet unhappy,

 

we were ready to walk on the moon. Reckless

in our need for the possible, we knew

there was no turning back, our bags already packed,

the future a religion we could believe in.

 

",Eric Gamalinda,"Stars, Planets, Heavens,Sciences","Quezon City, Philippines",1976
91,"

                    Factory of Souls

                ","

It takes just two people to bring the world

to ruin. So goes the history of love.

At the end of the day we tally the casualties

of war, victory for the one who gets wounded

 

the least. You say it’s time for a change

but I don’t know to what end, change being

just the skin of some incandescent creature

whose grotesque beauty is what we adore,

 

whom some people call love, whom we

venerate because it consumes us, slim pickings

for its huge soul. My people say, don’t look

or you’ll go blind. You say the end was always

 

just around the bend. I say all we have

is unconditional surrender to the future.

So unreliable is the past that I feel compelled

to leave unmourned the blind, relentless loves

 

that may have scorched into our hearts

the way the saints accepted stigmata. My people say,

look back or lose your way. Or, walk backwards,

if you can. So I found myself on a bus to New York City

 

to lose myself completely. Past Hunters Point

we hit the factory of souls—a thousand tombstones

from which a silk-like canopy of smoke rose to meet

God knows what—a spacious emptiness, the end.

 

I’ve heard the world’s never going to end.

I’ve heard it will go on and on, and we will be

as nebulous as Nebuchadnezzar, our live

not worth a footnote, our grandest schemes

 

no more than feeble whispers, all memory

shifting like the continental plates. In the future,

all science will finally come around; genetic

engineering, I’ve been told, will be all the rage,

 

and we will be a super race in a world

infallibly perfected, where trains run on time,

love never dies, and hope can be purchased

by the pound. It’s called immortalization

 of the cell lines. We will choose what will survive.

Our destiny made lucid, we will find the world

contemplating itself, like the young Narcissus,

one hand about to touch the pool, his body

 

lurched towards that marvelous reflection.

I suppose we’ve always felt compelled

to desensitize our failures. My people say,

to go unnoticed, you play dead. I myself

 

may have chosen to forget a face, a name,

some cruel word uttered carelessly, but not,

after all the harm is done, intending any pain.

And many others may have chosen to forget me.

 

It works both ways. My people say, nasa huliang pagsisi: regret is the final emotion.

It’s what you see when you look back.

It’s what’s no longer there.

",Eric Gamalinda,"Realistic & Complicated,Sciences","Quezon City, Philippines",1976
92,"

                    The Opposite of Nostalgia

                ","

You are running away from everyone

who loves you,

from your family,

from old lovers, from friends.

 

They run after you with accumulations

of a former life, copper earrings,

plates of noodles, banners

of many lost revolutions.

 

You love to say the trees are naked now

because it never happens

in your country. This is a mystery

from which you will never

 

recover. And yes, the trees are naked now,

everything that still breathes in them

lies silent and stark

and waiting. You love October most

 

of all, how there is no word

for so much splendor.

This, too, is a source

of consolation. Between you and memory

 

everything is water. Names of the dead,

or saints, or history.

There is a realm in which

—no, forget it,

 

it’s still too early to make anyone understand.

A man drives a stake

through his own heart

and afterwards the opposite of nostalgia

 

begins to make sense: he stops raking the leaves

and the leaves take over

and again he has learned

to let go.

 

",Eric Gamalinda,"Heartache & Loss,Fall","Quezon City, Philippines",1976
93,"

                    the luams speak of god

                ","

If there is a god, let it be the hyena

who plunges her mouth into the river after eating

our grandfather’s poisoned bait, who,

dark with thirst, poisons the river

unbeknownst to both of them.

 

Her ghosts stand in the street where we are called

already through “time” out of our houses. She tells

her stories. We tell her ours. We all clean our teeth

with what is sharp. She asks, Will you add this story to your stories of history & land & peace?

Yes, we will add this story. We ask her,Will you add these poems to your repertoire of songsabout hunger & thirst & fur? & she, being wiser than we,

says, Yes, I will sing them ifyou grant me your permissionto turn them into poems abouta mercy.

 

",Aracelis Girmay,"Family & Ancestors,Animals",California,1997
94,"

                    Second Estrangement

                ","

Please raise your hand,

whomever else of you

has been a child,

lost, in a market

or a mall, without

knowing it at first, following

a stranger, accidentally

thinking he is yours,

your family or parent, even

grabbing for his hands,

even calling the word

you said then for “Father,”

only to see the face

look strangely down, utterly

foreign, utterly not the one

who loves you, you

who are a bird suddenly

stunned by the glass partitions

of rooms.

                                        How far

the world you knew, & tall,

& filled, finally, with strangers.

 

",Aracelis Girmay,Youth,California,1997
95,"

from The Black Maria

                ","







          after Neil deGrasse Tyson, black astrophysicist & director of the Hayden


          Planetarium, born in 1958, New York City. In his youth, deGrasse Tyson was


          confronted by police on more than one occasion when he was on his way to


          study stars.

“I’ve known that I’ve wanted to do astrophysics since I was nine years old, a first visit to the Hayden Planetarium...So I got to see how the world around me reacted to my expression of these ambitions. & all I can say is, the fact that I wanted to be a scientist, an astrophysicist, was, hands down, the path of most resistance...Anytime I expressed this interest teachers would say, Don’t you want to be an athlete? Or, Don’t you wanna...I wanted to become something that was outside of the paradigms of expectation of the people in power.

And I look behind me and say, Well, where are the others who might have been this? And they’re not there. And I wonder, What is the [thing] along the tracks that I happened to survive and others did not? Simply because of the forces that prevented it. At every turn. At every turn.”


                                                 —NdT, The Center for Inquiry, 2007

 

                    Body of space. Body of dark.


                    Body of light.







The Skyview apartments

                    circa 1973, a boy is

kneeling on the rooftop, a boy who

                     (it is important

to mention here his skin

                    is brown) prepares his telescope,

the weights & rods,

                    to better see the moon. His neighbor

(it is important to mention here

                    that she is white) calls the police

because she suspects the brown boy

                    of something, she does not know

what at first, then turns,                    with her looking,

his telescope into a gun,

                    his duffel into a bag of objects

thieved from the neighbors’ houses

                     (maybe even hers) & the police

(it is important to mention

                    that statistically they

are also white) arrive to find

                    the boy who has been turned, by now,

into “the suspect,” on the roof

                    with a long, black lens, which is,

in the neighbor’s mind, a weapon &

                    depending on who you are, reading this,

you know that the boy is in grave danger,

                    & you might have known

somewhere quiet in your gut,

                    you might have worried for him

in the white space between lines 5 & 6,                    or maybe even earlier, & you might be holding

your breath for him right now

                    because you know this story,

it’s a true story, though,

                    miraculously, in this version

of the story, anyway,

                    the boy on the roof of the Skyview lives

to tell the police that he is studying

                    the night & moon & lives

long enough to offer them (the cops) a view

                    through his telescope’s long, black eye, which,

if I am spelling it out anyway,

                    is the instrument he borrowed

& the beautiful “trouble” he went through

                    lugging it up to the roof

to better see the leopard body of

                    space speckled with stars & the moon far off,

much farther than (since I am spelling The Thing

                    out) the distance between

the white neighbor who cannot see the boy

                    who is her neighbor, who,

in fact, is much nearer

                    to her than to the moon, the boy who

wants to understand the large

                    & gloriously un-human mysteries of

the galaxy, the boy who, despite “America,”

                    has not been killed by the murderous jury of

his neighbor’s imagination & wound. This poem                    wants only the moon in its hair & the boy on the roof.

This boy on the roof of this poem

                    with a moon in his heart. Inside my own body

as I write this poem my body

                    is making a boy even as the radio

calls out the Missouri coroner’s news,

                    the Ohio coroner’s news.

2015. My boy will nod

                    for his milk & close his mouth around

the black eye of my nipple.

                    We will survive. How did it happen?

The boy. The cops. My body in this poem.

                    My milk pulling down into droplets of light

as the baby drinks & drinks them down

                    into the body that is his own, see it,

splayed & sighing as a star in my arms.                    Maybe he will be the boy who studies stars.

Maybe he will be (say it)

                    the boy on the coroner’s table

splayed & spangled

                    by an officer’s lead as if he, too, weren’t made

of a trillion glorious cells & sentences. Trying to last.

 

 

Leadless, remember? The body’s beginning,

splendored with breaths, turned,

by time, into, at least, this song.

 

This moment-made & the mackerel-“soul”

caught flashing inside the brief moment of the body’s net,

then, whoosh, back into the sea of space.

 

The poem dreams of bodies always leadless, bearing

only things ordinary

as water & light.

",Aracelis Girmay,"Stars, Planets, Heavens,Race & Ethnicity",California,1997
100,"

                    On the 20th National Anniversary

                ","

On the morning of the 20th National Day

my uncle came home and told us:

“All our troops have got into position,

for the Russians may throw an atom-bomb on us today.”

 

After breakfast he returned to the headquarters,

but I had to go to school and join the celebration.

 

The fear oppressed my back like a bag of sand.

I could not raise the little triangle flag in my hand,

nor could I shout slogans with my classmates.

 

During the break I called together my best friends

and told them what would occur on this day.

Benli said, “I must go home

and tell my dad to kill all our chickens.”

Qingping said, “I must tell my aunt

not to buy a sewing machine.

Who would care about clothes if that happens.”

Yimin and I said nothing,

but we knew what we were going to do.

 

We decided to go to the army,

for we did not want to be roasted at home

like little pigs.

 

",Ha Jin,"Coming of Age,War & Conflict",China,1976
101,"

                    Hello, Baihua Mountain

                ","

The sound of a guitar drifts through the air.

Cupped in my hand, a snowflake quivers lightly.

Thick patches of fog draw back to reveal

A mountain range, rolling like a melody.

I have gathered the inheritance of the four seasons.

There is no sign of man in the valley.

Picked wild flowers continue to grow,

Their flowering is their time of death.

Along the path in the primordial wood

Green sunlight flows through the slits.

A russet hawk interprets into bird cries

The mountain's tale of terror.

Abruptly I cry out,

""Hello, Bai—hua—Mountain.""

""Hello, my—child,"" comes the echo

From a distant waterfall.

It was a wind within a wind, drawing

A restless response from the land,

I whispered, and the snowflake

Drifted from my hand down the abyss.

",Bei Dao,Landscapes & Pastorals,China,1969
102,"

                    Declaration

                ","







for Yu Luoke







Perhaps the final hour is come

I have left no testament

Only a pen, for my mother

I am no hero

In an age without heroes

I just want to be a man

The still horizon

Divides the ranks of the living and the dead

I can only choose the sky

I will not kneel on the ground

Allowing the executioners to look tall

The better to obstruct the wind of freedom

From star-like bullet holes shall flow

A blood-red dawn

",Bei Dao,"Death,Crime & Punishment",China,1969
103,"

                    Black Map

                ","

in the end, cold crows piece together

the night: a black map

I've come home—the way back

longer than the wrong road

long as a life

bring the heart of winter

when spring water and horse pills

become the words of night

when memory barks

a rainbow haunts the black market

my father's life-spark small as a pea

I am his echo

turning the corner of encounters

a former lover hides in a wind

swirling with letters

Beijing, let me

toast your lamplights

let my white hair lead

the way through the black map

as though a storm were taking you to fly

I wait in line until the small window

shuts: O the bright moon

I go home—reunions

are one less

fewer than goodbyes

",Bei Dao,Travels & Journeys,China,1969
104,"

                    The Good Provider

                ","

The best thing of all is to take the enemy’s country whole and intact.

My mother took my heart out. She banked it on top of her stove.

It glowed white. She put it back in my chest.

 

Tita knew that overseas workers often had affairs.

He licked me and I pretended it pinged through my body like a swift idea

That I wrote about and considered like a bell of good craftsmanship.

He also knew that their kids ate better

 

He said your belly is like a cat’s.

He said with his bowl up to his chin

More please.

 

At night the fireflies come out. They flock to my window.

I put my hands up against the screen.

I think how fragile it is to be inside a house.

They say I want permission

 

I paint my face. I say—just take it.

Easy. If equally matched, we can offer battle.

If unequal in any way, we can flee from him.

 

Deprived of their father while sustained by his wages.

I thought a lot about walking around at night.

By myself. Just to think. But I never did.

I thought I could just flick a switch.

 

When I was born, my mother and father gave me a gardenia like personal star.

Don’t you hate it when someone apologizes all the time?

It’s like they are not even sorry.

 

",Sarah Gambito,"Home Life,Animals",Philippines,2039
105,"

                    Getting Used to It

                ","

She brightens at the evidence. Like a strong appliance.

 

You can make it hot.

 

Grown ass people having tantrums.

 

I’m unbought, unheated. Like a perfectly square morsel of lasagna.

 

A wrathful rubics cube.

 

To realize, I wish to ridicule people interested in martial arts.

 

That I’m not getting better.

 

 

 

My uncle would prank call my father, “Immigration!”

 

He’d crow. And my father would fall to silence.

 

No matter the heavy accent.

 

No matter the voice he’d known unto boredom.

 

One wing swigging out to its brother on the other bird.

 

I measured this silence when I was a girl.

 

The quality of the joke and how it rested

 

on the bad stomach of a tensile citizenry.

 

The joke was that, in an instant,

 We Lost Everything.

 

 

 

It is important to remember who would laugh first—

 

the perpetrator/uncle/jokester or the assailed/father/feather.

 

Or maybe, it isn’t.

 

Maybe what you should know is that

 

they told this joke over and over and ever.

 

My uncle crowed. My father disbelieved. We lost everything.

 

And then, the svelte, sweet brier laughter.

 

",Sarah Gambito,"Family & Ancestors,Humor & Satire,Race & Ethnicity",Philippines,2039
106,"

                    Rapproachement

                ","







The art of war teaches us to rely not on the chance of the enemy not attacking but rather on the fact that we have made our position unassailable.

          —Sun Tzu







My father called me a chink

so I’d know how to receive it.

So I wouldn’t be surprised.

 Therefore the good soldier will be terrible in his onset and prompt in his decision.

 

In the wall, I bricked up my secret.

So it would gush forth. I did this for effect.

So you would know me.

 On the day of battle your soldiers might weep bedewing their garments.

 

But it grew like a bullet loving its flowerstain.

It happened nonetheless.

 But let them at once be brought to bay.

 

Because you are simply my medic watching me.

I’m a poem someone else wrote for me.

All of the characters “beautiful and flawed.”

 When we are near, we must make the enemy believe we are far.

 

My sister said, you can forget our way of life?

I said yes and was annoyed. She ran away and I was desperate for her.

I was screaming into the mindspeaker.

 When far away, we must make him believe we are near.

 

I said, Christine, christine, christine.

 

",Sarah Gambito,"Home Life,Race & Ethnicity",Philippines,2039
107,"

                    Immigrant Song

                ","

All birds—even those that do not fly

—have wings

 

A constant confession

Admission of omission

 

This is your punctuated equilibrium

And everything in between

Slow it down

 

The moment of extinction

The death of the last individual of a species

(Let’s put it aside for now)

Stay with it

 

This is our gene flow

How do you like our genetic drift

A riff, a rift, a raft…

Too rough for the second half

 

Take us under, take us downhill

Paint pangenesis all over your dancing body

The new party god

Keep the beat going, don’t stop, you can’t stop

 

Crick & Watson

Evo-devo

This is your mother’s local phenomenon

 

If this is racial hygiene

Why do I feel so dirty?

 

Microcosmic soul

It’s an involutionary wonderland

This living matter

A modern synthesis

4.6 billion years of biology

Can’t stop the ideology

Graduate from meet/mate

To fitness landscape of sexual selection

 

From land over sea

It’s a hard lyric

The impression of a key in a bar of soap

A transitional fossil

 

Keep camping

Plant the flag

Bury the burial mound

Put the pop in popular

And the sigh in science

 

",Sun Yung Shin,"Family & Ancestors,Animals",South Korea,1994
